route_id,agency_id,route_short_name,route_long_name,route_type
638,PMPML,325,Pune Station Moledina Stand to Pimple Saudagar- Mahadev Mandir / Pimple Saudagar (DOWN),3
226,PMPML,160,Shaniwarwada Stand to Manjari Budruk (DOWN),3
288,PMPML,176,Pune Station Depot to Vadachi Wadi (DOWN),3
916,PMPML,65,Yavat to Hadapsar Gadital Solapur Road (UP),3
1220,PMPML,330A,Talegaon Dhabhade Maruti Mandir to Sant Tukaram Maharaj Krida Sankul Dehugaon (UP),3
287,PMPML,176,Vadachi Wadi to Pune Station Depot (UP),3
165,PMPML,144,Nda 10 No. Gate to Pune Station Moledina Stand (DOWN),3
448,PMPML,231,Shilim Gaon to Marketyard Depot (UP),3
359,PMPML,202,Ganpati Matha to Shewalewadi Depot (UP),3
445,PMPML,228,Katraj to Vadgaon Mawal (DOWN),3
917,PMPML,65,Hadapsar Gadital Solapur Road to Yavat (DOWN),3
381,PMPML,208,Bhekrai Nagar to Hinjawadi Maan Phase 3 (DOWN),3
286,PMPML,175,Shaniwarwada Stand to Hadapsar Gadital (DOWN),3
8,PMPML,103A,Mit Collage to Katraj (UP),3
282,PMPML,174,Pune Station Moledina Stand to Nda 10 No. Gate (DOWN),3
450,PMPML,232,Gram Panchayat Belawade to Marketyard Depot (UP),3
560,PMPML,301,Katraj to Shewalewadi Depot (DOWN),3
1261,PMPML,171,Hadapsar Gadital Solapur Road to Nhavare (DOWN),3
768,PMPML,363A,Datta Nagar Kiwale to Pimpri Road (UP),3
1260,PMPML,171,Nhavare to Hadapsar Gadital Solapur Road (UP),3
1256,PMPML,171A,Nhavare to Kedgaon Chaufula (UP),3
14,PMPML,104,Dsk Vishwa to Shivaji Nagar (UP),3
1214,PMPML,230,Mhada Colony Viman Nagar to Bharati Vidyapeeth (UP),3
33,PMPML,113A,Vasant Talkies to Pimplegurav (DOWN),3
910,PMPML,64,Nda 10 No. Gate to Bhekrai Nagar (UP),3
277,PMPML,170MRING,Pune Station Depot to Pune Station Depot (UP),3
393,PMPML,210,Hadapsar Gadital to Midc Jejuri (DOWN),3
205,PMPML,157,JSPM Vidhyapith Wagholi to Ma Na Pa Shramik Bhavan (UP),3
543,PMPML,29A,Marketyard Depot to Alandi (DOWN),3
307,PMPML,183A,Kesnand Phata Wagholi to Theur Phata (UP),3
142,PMPML,13,Shivaji Nagar to Upper Depot (UP),3
285,PMPML,175,Hadapsar Gadital to Shaniwarwada Stand (UP),3
571,PMPML,304,Bhosari Gavhane Vasti to Chinchwadgaon (UP),3
204,PMPML,156,Hadapsar Gadital to Kharadi Bypass (DOWN),3
502,PMPML,282,Bhosari Terminal to Ganpati Matha (UP),3
116,PMPML,133A,Columbia Hospital to Ma Na Pa Shramik Bhavan (UP),3
118,PMPML,133,Anand Park Vadgaon Sheri Road to Ma Na Pa Shramik Bhavan (UP),3
1293,PMPML,344A,Susgaon Sunny World to Alandi (UP),3
1061,PMPML,H3,Mantri Market Hadapsar to Saswad Road Railway Station (DOWN),3
784,PMPML,367,Mukai Chowk to Bhosari Gavhane Vasti (UP),3
1290,PMPML,142A,Pune Station Depot to Ghotawadegaon (DOWN),3
164,PMPML,144K,Gujarat Colony to Pune Station Moledina Stand (DOWN),3
257,PMPML,167A,Kesnand Phata Wagholi to Hadapsar Gadital Solapur Road (UP),3
771,PMPML,363C,Nigdi Pawale Chowk to Samir Lawns Ravet (DOWN),3
561,PMPML,302A,Alandi to Pimprigaon (UP),3
135,PMPML,139A,Bhekrai Nagar to Nigdi Bhakti Shakti Stand (DOWN),3
357,PMPML,201,Alandi to Bhekrai Nagar (UP),3
547,PMPML,2A,Katraj to Shivaji Nagar (DOWN),3
479,PMPML,258,Ma Na Pa Main Gate to Nilanjan Society Soosgaon (DOWN),3
404,PMPML,215,Swargate to Chintamani Dnyanpith (UP),3
531,PMPML,296A,Balaji Nagar Corner Satara Road to Vangniwadi (DOWN),3
69,PMPML,11,Marketyard Depot to Pimplegurav (DOWN),3
1311,PMPML,338A,Dehugaon to Bhandara Dongar (DOWN),3
131,PMPML,137,Ma Na Pa Shramik Bhavan to Pargaon Salu Malu (DOWN),3
839,PMPML,3RING,Swargate to Swargate (UP),3
908,PMPML,62,Sangamwadi Phata to Upper Depot (UP),3
124,PMPML,135,Ranjangaon Sandas to Ma Na Pa Shramik Bhavan (UP),3
559,PMPML,301M,Swargate to Hadapsar Gadital (DOWN),3
141,PMPML,13B,Upper Depot to Pune Vidyapeeth (DOWN),3
447,PMPML,231B,Paud St Stand to Shilim Gaon (DOWN),3
122,PMPML,135A,Ranjangaon Sandas to Kesnand Phata Wagholi (UP),3
110,PMPML,130,Swargate to Narhegaon (UP),3
1107,PMPML,METRO SHUTTLE 20A,Bhekrai Nagar to Ramwadi Metro Station (DOWN),3
779,PMPML,364,Alandi to Chakan Ambethan Chowk (DOWN),3
195,PMPML,153,Alandi to Kharadi Gaon (UP),3
125,PMPML,135,Ma Na Pa Shramik Bhavan to Ranjangaon Sandas (DOWN),3
1251,PMPML,349,Bhosari Chakan Road to Nighoje Gaon (DOWN),3
431,PMPML,227AB,Marketyard Depot to Lahavaharde Gaon (DOWN),3
829,PMPML,37,Na Ta Wadi to Sahakar Nagar (UP),3
109,PMPML,130C,Swami Narayan Mandir Ambegaon Khurd to Katraj (DOWN),3
477,PMPML,257,Panaychi Taki Markal to Alandi (DOWN),3
347,PMPML,19A,Swargate to Yewalewadi (UP),3
117,PMPML,133A,Ma Na Pa Shramik Bhavan to Columbia Hospital (DOWN),3
220,PMPML,159C,Shikrapur St Stand to Loni Dhamni (DOWN),3
655,PMPML,329,Pimpri Road to Siddhanta College Sudumbare (DOWN),3
207,PMPML,158A,Dimond Water Park to Ma Na Pa Dengle Pul Nadikathi (UP),3
1042,PMPML,99A,Deccan Gymkhana to Kothrud Depot (UP),3
104,PMPML,130A,Katraj to Narhegaon (UP),3
503,PMPML,282,Ganpati Matha to Bhosari Terminal (DOWN),3
478,PMPML,258,Nilanjan Society Soosgaon to Ma Na Pa Main Gate (UP),3
51,PMPML,118B,Swargate Natraj Stand to Venutai Chavan College (DOWN),3
100,PMPML,126,Bopkhel to Pimple Nilakh (DOWN),3
236,PMPML,161,Kesnand Phata Wagholi to Zilla Parishad Shala Karegaon (DOWN),3
312,PMPML,183,Hadapsar Gadital Solapur Road to Kesnand Phata Wagholi (DOWN),3
259,PMPML,167,Kesnand Phata Wagholi to Bhekrai Nagar (UP),3
621,PMPML,31,Pune Station Moledina Stand to Taljai Pathar (UP),3
705,PMPML,348,Pune Station Moledina Stand to Nigdi Bhakti Shakti (DOWN),3
836,PMPML,38,Dhankawadi to Na Ta Wadi (DOWN),3
514,PMPML,292A,Kalyangaon to Balaji Nagar Corner Satara Road (UP),3
145,PMPML,13,Upper Depot to Shivaji Nagar (DOWN),3
618,PMPML,319,Pimplegurav to Mukai Chowk (DOWN),3
1268,PMPML,379,Nighoje Gaon to Nigdi Pawale Chowk (UP),3
98,PMPML,126E,Sangvi Vasantdada Putala to Bopkhel (UP),3
1036,PMPML,98A,Pune Station Moledina Road to Ganpati Matha (UP),3
81,PMPML,123,Ma Na Pa Main Stand to Nigdi Bhakti Shakti (DOWN),3
179,PMPML,149,Hadapsar Gadital to Nigdi Bhakti Shakti Stand (DOWN),3
289,PMPML,177A,Bhangire Nagar Mahamadwadi to Pune Station Depot (UP),3
1027,PMPML,93,Deccan Gymkhana to Wakad Pul (DOWN),3
78,PMPML,122,Chinchwadgaon to Ma Na Pa Main Stand (UP),3
1215,PMPML,230,Bharati Vidyapeeth to Mhada Colony Viman Nagar (DOWN),3
48,PMPML,118A,Suncity to Swargate Natraj Stand (UP),3
364,PMPML,203,Shewalewadi Depot to Pune Station Moledina Road (DOWN),3
415,PMPML,219,Kothrud Depot to Alandi (DOWN),3
327,PMPML,192,Vadachi Wadi to Hadapsar Gadital (UP),3
75,PMPML,122A,Ma Na Pa Main Stand to Chinchwadgaon (DOWN),3
59,PMPML,119A,Ma Na Pa Daphale Garage to Charholigaon (DOWN),3
828,PMPML,378RING,Pimpri Road to Pimpri Road (UP),3
1213,PMPML,218A,Saswad to Virgaon (DOWN),3
400,PMPML,213,Nira to Hadapsar Gadital (UP),3
1279,PMPML,170,Yewalewadi to Pune Station Depot (UP),3
693,PMPML,343C,Samarth Vidyalay Talegaon Dhabhade to Chakan Ambethan Chowk (UP),3
139,PMPML,139,Shewalewadi Depot to Nigdi Bhakti Shakti (DOWN),3
1282,PMPML,170,Pune Station Depot to Yewalewadi (DOWN),3
243,PMPML,164A,Nhavare to Shikrapur St Stand (UP),3
1217,PMPML,236A,Pune Station Moledina Road to Kesnand Phata Wagholi (DOWN),3
68,PMPML,11,Pimplegurav to Marketyard Depot (UP),3
223,PMPML,15,Dsk Vishwa to Bhekrai Nagar (UP),3
335,PMPML,195,Holkarwadi to Hadapsar Gadital (UP),3
46,PMPML,117D,Swargate Natraj Stand to Jadhav Nagar Shingad Road (DOWN),3
604,PMPML,313,Chinchwadgaon to Chandkhed (DOWN),3
127,PMPML,136,Kesnand Phata Wagholi to Vadegaon (DOWN),3
70,PMPML,120,Endurance Systems Chakan Mahalunge to Pimpri Road (UP),3
369,PMPML,207AC,Saswad to Ma Na Pa Shramik Bhavan (UP),3
166,PMPML,145,Sutarwadi Depot to Pune Station Depot (UP),3
112,PMPML,131,Golegaon Gram Panchayat to Ma Na Pa Dengle Pul Nadikathi (UP),3
1241,PMPML,10,Shivaji Nagar to Janata Vasahat Aapla Chowk (DOWN),3
471,PMPML,256A,Ma Na Pa Main Gate to Balewadi Depot (DOWN),3
546,PMPML,2A,Shivaji Nagar to Katraj (UP),3
353,PMPML,1,Pune Station Moledina Stand to Shivaji Nagar (UP),3
647,PMPML,327,Hinjawadi Maan Phase 3 to Alandi (UP),3
12,PMPML,103M,Katraj to Kothrud Depot (DOWN),3
63,PMPML,11A,Marketyard Depot to Kasarwadi Railway Station (DOWN),3
496,PMPML,277,Bhosari Terminal to Kothrud Depot (UP),3
310,PMPML,183B,Hadapsar Gadital Solapur Road to Kesnand Phata Wagholi (DOWN),3
25,PMPML,110ARING,Kothrud Depot to Ma Na Pa Congress Bhavan (UP),3
977,PMPML,82RING,Nda 10 No. Gate to Nda 10 No. Gate (UP),3
308,PMPML,183A,Theur Phata to Kesnand Phata Wagholi (DOWN),3
892,PMPML,57A,Venutai Chavan College to Pune Station Jayprakash Stand (UP),3
1068,PMPML,K11A,Katraj to Kolewadi (UP),3
189,PMPML,152C,Vishrantwadi Alandi Road to World Pride City (DOWN),3
403,PMPML,214,Katraj to Shingad Collage Ambegaon (DOWN),3
1267,PMPML,332,Nigdi Pawale Chowk to Tata Motors Bebadohal (DOWN),3
824,PMPML,376,Ma Na Pa Main Stand to Pimprigaon (DOWN),3
925,PMPML,67C,Hadapsar Gadital Solapur Road to Uruli Railway Station (DOWN),3
1310,PMPML,338A,Bhandara Dongar to Dehugaon (UP),3
467,PMPML,24B,Katraj to World Pride City Main Gate (DOWN),3
105,PMPML,130A,Narhegaon to Katraj (DOWN),3
72,PMPML,121,Bhosari Terminal to Ma Na Pa Main Stand (UP),3
923,PMPML,67A,Swargate to Uruli Kanchan (DOWN),3
278,PMPML,170RING,Pune Station Depot to Pune Station Depot (UP),3
26,PMPML,110BRING,Ma Na Pa Congress Bhavan to Kothrud Depot (UP),3
930,PMPML,68,Upper Depot to Sutardara (UP),3
332,PMPML,193,Hadapsar Gadital Solapur Road to Khutbav Gaon (DOWN),3
582,PMPML,306,Dange Chowk to Megapolis Phase 3 (DOWN),3
1259,PMPML,171B,Hadapsar Gadital Solapur Road to Kedgaon Chaufula (DOWN),3
273,PMPML,170B,Yewalewadi to Pune Station Depot (UP),3
185,PMPML,152A,Ma Na Pa Daphale Garage to World Pride City (DOWN),3
371,PMPML,207A,Saswad to Hadapsar Gadital (UP),3
766,PMPML,362,Ycm Hospital to Alandi (UP),3
15,PMPML,104,Shivaji Nagar to Dsk Vishwa (DOWN),3
107,PMPML,130B,Swami Narayan Mandir Ambegaon Khurd to Swargate (DOWN),3
244,PMPML,164A,Shikrapur St Stand to Nhavare (DOWN),3
128,PMPML,137A,Pargaon Salu Malu to Kesnand Phata Wagholi (UP),3
13,PMPML,103,Katraj to Kothrud Depot (DOWN),3
456,PMPML,233,Paud Shashkiy Vishram Gruh to Marketyard Depot (UP),3
115,PMPML,132,Ma Na Pa Shramik Bhavan to Shubham Society Nagar Road (DOWN),3
405,PMPML,215,Chintamani Dnyanpith to Swargate (DOWN),3
1242,PMPML,208B,Hinjawadi Maan Phase 3 to Mahatma Gandhi Stand (UP),3
609,PMPML,316,Katar Khadak to Chinchwadgaon (UP),3
909,PMPML,62,Upper Depot to Sangamwadi Phata (DOWN),3
1056,PMPML,H11A,Adarshnagar JSPM School to Hadapsar Gadital (UP),3
